f-n1 167.33 1.410   # SOUECE3 1
f-n2 148.04 1.444   # SOURCE3 5 0.0377
f-n3 169.79 1.406   # SOURCE1 9
f-n 175.49 1.397   # SOURCE3 3 0.0112
f-n4 246.14 1.308   # SOURCE3 2
f-na 166.72 1.411   # SOURCE3 7 0.0611
f-nh 157.90 1.426   # SOURCE3 3 0.0085
f-no 136.49 1.467   # SOURCE2 1
f-o 198.07 1.330   # SOUECE3 1
f-oh 129.79 1.444   # SOURCE3 1
f-os 139.94 1.423   # SOURCE3 2
f-p2 522.31 1.536   # SOURCE3 7 0.2054
f-p3 454.68 1.578   # SOURCE2 8 0.0103
f-p4 437.32 1.590   # SOUECE3 1
